"codigodpto","dpto","codigompio","mpio","dimension","value","year","fuente","unidad"
"05","Antioquia","05059","Armenia","Medición de desempeño municipal",41.6,"2016","DNP - SPT","Puntos"
"05","Antioquia","05079","Barbosa","Medición de desempeño municipal",61.89,"2016","DNP - SPT","Puntos"
"05","Antioquia","05086","Belmira","Medición de desempeño municipal",55.24,"2016","DNP - SPT","Puntos"
"05","Antioquia","05088","Bello","Medición de desempeño municipal",69.96,"2016","DNP - SPT","Puntos"
"05","Antioquia","05091","Betania","Medición de desempeño municipal",48.91,"2016","DNP - SPT","Puntos"
"05","Antioquia","05093","Betulia","Medición de desempeño municipal",45.25,"2016","DNP - SPT","Puntos"
"05","Antioquia","05101","Ciudad Bolívar","Medición de desempeño municipal",53.81,"2016","DNP - SPT","Puntos"
"05","Antioquia","05107","Briceño","Medición de desempeño municipal",53.51,"2016","DNP - SPT","Puntos"
"05","Antioquia","05113","Buriticá","Medición de desempeño municipal",36.09,"2016","DNP - SPT","Puntos"
"05","Antioquia","05120","Cáceres","Medición de desempeño municipal",44.17,"2016","DNP - SPT","Puntos"
"05","Antioquia","05125","Caicedo","Medición de desempeño municipal",48.24,"2016","DNP - SPT","Puntos"
"05","Antioquia","05129","Caldas","Medición de desempeño municipal",59.39,"2016","DNP - SPT","Puntos"
"05","Antioquia","05134","Campamento","Medición de desempeño municipal",44.6,"2016","DNP - SPT","Puntos"
"05","Antioquia","05138","Cañasgordas","Medición de desempeño municipal",50.7,"2016","DNP - SPT","Puntos"
"05","Antioquia","05142","Caracolí","Medición de desempeño municipal",51.58,"2016","DNP - SPT","Puntos"
"05","Antioquia","05145","Caramanta","Medición de desempeño municipal",57.06,"2016","DNP - SPT","Puntos"
"05","Antioquia","05147","Carepa","Medición de desempeño municipal",50.39,"2016","DNP - SPT","Puntos"
"05","Antioquia","05148","El Carmen de Viboral","Medición de desempeño municipal",56.1,"2016","DNP - SPT","Puntos"
"05","Antioquia","05150","Carolina","Medición de desempeño municipal",59.81,"2016","DNP - SPT","Puntos"
