"iso3","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"BDI",2006,362.5,815.054,31.1809,7.3,0.781366,3.2461,5.41381,31593.8,1.00949473295957
"BDI",2007,225,815.908,35.0457,6.8,8.99157,3.28892,3.45195,500245,1.388
"BDI",2008,550,827.792,36.9371,10.5,34.1017,3.30118,4.86171,3800000,0.615921813418829
"BDI",2009,1143.75,831.565,50.1778,6.6,12.1401,3.28716,3.81275,348405,0.920670397832347
"BDI",2010,3081.25,846.169,72.4468,9.7,6.23488,3.2562,5.12416,780582,0.904176566840832
"BDI",2011,68.75,852.503,50.1648,8.8,9.15349,3.20771,4.0326,3400000,0.844222878404892
"BDI",2012,12.5,862.716,37.4885,9.7,13.8806,3.15979,4.44671,604920,0.899647877762374
"BDI",2013,450,877.273,26.5982,9.1,9.54607,3.1335,4.9242,120000000,0.874063942017349
"BDI",2014,862.5,886.235,59.1465,7.60342,2.3538,3.13676,4.24065,82000000,1.21917496459863
"BDI",2015,893.75,825.206,63.554,5.73297,5.78109,3.15691,-3.9,50000000,0.872396414044914
"BDI",2016,100,794.604,66.2356,6.65259,7.22895,3.17701,-0.60002,55420.4,0.923834892980364
"BDI",2017,6.25,773.573,59.998,7.4447,24.1989,3.1812,0.50001,316473,1.03184865474774
"BDI",2018,56.25,761.524,55.0003,9.40104,-10.8813,3.16691,1.60993,983747,0.785757609234543
"BEN",2013,7431.25,2876.9,36.9455,27.5706,2.66219,2.79072,7.19143,360000000,0.989
"BEN",2011,54925,2707.87,38.0634,20.8497,5.84181,2.80376,2.96375,160000000,1.074
"BEN",2012,6750,2759.85,40.3416,23.8967,4.70908,2.79772,4.81122,280000000,0.719
"BEN",2014,3056.25,2975.85,29.8589,31.4308,-0.796432,2.78209,6.35768,410000000,1.087
"BEN",2010,2875,2704.71,67.599,23.072,4.0893,2.80598,2.11406,54000000,1.349
"BEN",2008,5018.75,2738.19,30.1095,22.1407,18.1916,2.82352,4.89658,48000000,0.731
"BEN",2009,2075,2724.08,49.297,19.928,2.69302,2.80943,2.31929,-19000000,1.066
"BEN",2016,543.75,2961.44,33.4302,27.6068,-0.445703,2.76136,3.33967,130000000,1.248
"BEN",2005,12312.5,2581.64,25.8985,18.4836,9.44667,2.95237,1.71316,-8800000,1.201
"BEN",2007,83118.8,2685.13,38.0416,22.0429,-0.643239,2.8541,5.98635,140000000,0.927
"BEN",2018,12.5,3160.78,37.0948,27.2742,1.57308,2.73486,6.69726,190000000,1.233
"BEN",2015,518.75,2945.97,22.6842,24.7205,0.499391,2.77184,1.77815,150000000,1.317
"BEN",2006,1750,2606.82,39.3161,18.0579,-0.477085,2.89752,3.94374,-12000000,1.136
"BEN",2004,2625,2614.21,18.3329,18.5135,-0.716519,3.00532,4.42968,-41000000,0.828
"BEN",2017,512.5,3044.52,29.8023,27.2056,1.75529,2.7499,5.67156,200000000,1.372
"BFA",2004,300,1447.5,18.4079,10.8816,-4.69687,2.92759,4.47845,14000000,0.935
"BFA",2005,4525,1527.02,16.3675,9.84185,15.3981,2.95917,8.66187,52000000,1.512
"BFA",2006,2543.75,1574.73,NA,10.9569,0.130953,2.989,6.25316,84000000,1.231
"BFA",2007,10175,1590.83,23.5612,10.3485,-1.29969,3.01189,4.11138,22000000,0.949
"BFA",2008,2750,1632.95,24.6398,10.1493,23.2341,3.0249,5.79999,33000000,0.382
"BFA",2009,493.75,1631.19,13.9915,13.789,3.97655,3.02645,2.96195,57000000,1.021
"BFA",2010,1250,1716.36,10.4707,20.5158,1.48629,3.01921,8.44628,39000000,1.347
"BFA",2011,2862.5,1775.78,8.68811,26.1955,6.12706,3.00905,6.62256,140000000,1.088
"BFA",2012,3256.25,1834.54,8.14123,26.5981,5.37406,2.9974,6.45267,330000000,0.573
"BFA",2013,1275,1883.8,12.5338,27.077,-0.218618,2.98166,5.79258,490000000,0.93
"BFA",2014,4737.5,1907.95,11.784,26.932,-3.23013,2.96188,4.32685,360000000,0.981
"BFA",2015,4018.75,1925.33,16.8409,26.1076,2.46314,2.93935,3.92123,230000000,1.231
"BFA",2016,4387.5,1981.43,12.8766,25.916,1.00695,2.91521,5.95798,390000000,1.184
"BFA",2017,356.25,2044.39,13.2152,26.4524,2.03886,2.89075,6.20349,2600000,1.34
"BFA",2018,112.5,2117.81,14.5433,28.0789,3.43427,2.86698,6.60457,270000000,1.27
"BGD",2004,1606.25,2171.69,6.1843,11.1465,7.04627,1.6152,5.23953,450000000,0.291
