"code","year","value"
23115010,2000,27.2991712707182
23125080,2000,21.187675070028
23125100,2000,15.7002824858757
23125140,2000,21.2726443768997
24015090,2000,15.7149068322981
24015220,2000,13.4906593406593
24015300,2000,16.1071625344353
24025030,2000,11.708
24035010,2000,11.8420454545455
24035020,2000,15.5214076246334
24035040,2000,12.4572271386431
24035070,2000,12.9699115044248
24035120,2000,13.9643454038997
24035130,2000,12.9554644808743
24035150,2000,14.7969879518072
24035170,2000,13.8914835164835
24035180,2000,14.4389048991354
24035240,2000,6.61204481792717
24035250,2000,11.2823529411765
24035310,2000,16.9927927927928
24035320,2000,15.1038922155689
24035330,2000,16.7909365558912
24035340,2000,14.1245901639344
35075010,2000,14.6071428571429
35075020,2000,17.5376770538244
35075030,2000,15.9099173553719
35075040,2000,16.8891966759003
35075080,2000,1278.41707650273
35085020,2000,15.5353982300885
35085040,2000,18.3922865013774
35085050,2000,21.0134185303514
35085070,2000,1263.89426229508
35195050,2000,18.2873925501433
37035010,2000,24.0775956284153
