"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AGO",2001,4957.59796503645619094,3024175.731275767581616
"ARG",2001,5979.94749753339676451,2257860.876049710603967
"AUS",2001,0.07592236710015192,28.850119515507544
"BDI",2001,6.22292964949001752,3296.91893323823045
"BES",2001,0.1469319746592882,61.257230732964175
"BGD",2001,384.77334921171956811,219728.30839148192978
"BHS",2001,0.28678775083984374,45.322468633304435
"BLZ",2001,1271.34564506978553689,535508.336778738881382
"BOL",2001,36529.52787798361404211,20283743.439149119282962
"BRA",2001,465542.98364393865272220,294703831.838049594408779
"BRN",2001,256.08653660094806340,213615.077035174204241
"BTN",2001,69.41099623881293760,47633.889166049304098
"CAF",2001,3939.63629390937151725,2678577.164465532219604
"CHN",2001,867.20313471069959455,478232.721575344509169
"CIV",2001,14045.21730711845593426,6251319.953146277197233
"CMR",2001,8286.75606657634128613,5240001.959908104769678
"COD",2001,92019.98712526899127713,62132520.541137508220868
"COG",2001,7398.98975925831640412,4625344.442802574883175
"COL",2001,24081.67027605065808940,15316318.767006097353115
"CRI",2001,522.07243540316895902,302839.391471384790625
"CUB",2001,475.24672877172118574,122265.7268804931157435
"CYM",2001,2.24888464985785603,489.841171900520565
"DMA",2001,5.04974570282118092,3079.081232553670220
"DOM",2001,235.77704186081711212,102503.218843814850370
"ECU",2001,4701.19220068923289128,3215318.550176575357649
"ETH",2001,1399.27059449023149440,883768.060111040410637
"FJI",2001,12.56193164559895919,7209.868931923737252
"GAB",2001,5117.83666954909785146,3252307.722582435976643
"GHA",2001,1699.57326382970076090,790171.399333621072265
"GIN",2001,287.97542793233343111,144532.76533574032513363
"GLP",2001,3.1064585997998047,1734.51272123094974
"GNB",2001,8.52683887830674995,2467.615364868873327
"GNQ",2001,603.18416413092922931,386306.911962040302087
"GTM",2001,3978.86653208111611011,2082388.411576329840320
"GUF",2001,901.77611951122811851,745127.802118362787690
"GUY",2001,1834.78657925390581833,1275524.679334819374924
"HND",2001,4747.46372050828386708,2652875.486690926342663
"HTI",2001,9.89033936289062562,4914.263627927300226
"IDN",2001,114393.78862800675156029,100890267.686562915858168
"IND",2001,5541.94205918916286197,3344181.7609291691570016
"JAM",2001,89.57468488645833662,50243.459450569768289
"KEN",2001,2390.69343360199183439,1367254.261517888366513
"KHM",2001,8908.21938988077595085,5264327.952884906987620
"KNA",2001,1.98641194428059906,974.89335955023153
"LAO",2001,10263.04417050624741628,6288355.796335789721185
"LBR",2001,2080.51122607954625127,1027788.321685782426187
"LCA",2001,1.04632296464463973,649.15474094948788
"LKA",2001,115.75726964476175915,46203.677208456135247
"MAF",2001,0.4393774783344184,164.0918509719424
"MDG",2001,21193.78309873170123013,11552345.672209700542005
"MDV",2001,0.07640892191650392,0.0
"MEX",2001,8045.03618630628289131,3948765.8572778924954456
"MMR",2001,9308.13783060656040959,5459272.987271299125825
"MOZ",2001,47.94843722824816271,23256.215455434149682
"MSR",2001,0.44252670263237849,245.16526279769794
"MTQ",2001,1.5642030455957034,882.03544597536778
"MWI",2001,2.5299241233865017,1368.06627388956734
"MYS",2001,24068.03917452008993543,18900884.516314358159486
"NGA",2001,3494.91524358786999475,1383486.365025248242987
"NIC",2001,1853.38217201431339043,1072099.540303060299401
"NPL",2001,59.36401164300781333,40334.133465307564919
"PAN",2001,1186.93557742903149829,742950.970099333153608
"PER",2001,28698.56957434500015209,19636146.863384810549562
"PHL",2001,1655.13987553336499581,1174154.588244350116342
