"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","",
"Africa Eastern and Southern","AFE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","42.3455045567714","42.329994947024","42.3662984140875","42.3481123672599","42.3308870927175","42.3569651976024","42.3704846361874","42.4036999066198","42.4543463313699","42.5270218920887","42.6370989453397","42.6808140843178","42.6878139966816","42.7011275554913","42.7343428259236","42.756440588484","42.7694796409265","42.8502531394779","42.825547566429","42.8206064518192","42.901585830146","42.9122915784672","42.9450950893487","42.9485950455307","43.2377188767941","43.4994606979283","43.6643017714376","43.9125927805786","44.1264332406348","44.077433167822","44.1755291847964","44.3646240625007","43.4050470466169","43.6023084887457","43.7867367582074","43.9409693272762","44.0967123676305","44.2382490172157","44.4538337593558","44.6136937089523","44.7543128210052","44.8921319681125","45.2187016933131","44.9733948090704","45.1500723796951","45.3477528046689","45.51169826966","45.6764834033863","45.9434858121173","46.1569432925705","46.3615149051251","43.3887944926728","43.5242711759712","43.6741754664362","43.7724957911893","43.901451693597","44.0450876779235","44.1683449263852","44.1948457110325","44.2487211349222","",
"Afghanistan","AFG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","57.8016957208347","57.8936878095151","57.9703478834154","58.0669395765298","58.0700059794858","58.12826763565","58.2294589331984","58.2309921346764","58.2555233583245","58.2708553731046","58.3168514174448","58.3321834322248","58.3352498351808","58.3352498351808","58.3352498351808","58.3352498351808","58.3383162381369","58.3383162381369","58.3367830366588","58.3367830366588","58.3429158425709","58.3444490440489","58.3444490440489","58.3444490440489","58.3444490440489","58.3444490440489","58.3306502307468","58.3229842233568","58.3229842233568","58.3229842233568","58.3076522085767","58.3076522085767","58.1604648666881","57.9749474878494","57.882955399169","57.881422197691","57.9396838538552","58.0577403676617","57.882955399169","57.882955399169","57.882955399169","57.882955399169","58.123668031216","58.125201232694","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.125201232694","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.123668031216","58.2769881790166","58.2769881790166","58.8074758904068","",
"Africa Western and Central","AFW","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","32.9457551914646","33.0619858554282","33.3180947938337","33.4462271930387","33.7123012232247","33.693992646945","33.6647407086435","33.7647873561058","34.3885678344745","33.9799537504781","33.8171397367845","33.3552458498129","33.9239690579202","33.4118821425176","33.3671502070579","33.4391174669293","32.9658581128438","32.8458021309384","32.829330361782","33.1731370871279","32.7976028601182","32.9974750657213","33.1263749505294","33.6010714388367","33.9239844435748","34.5777699656635","34.6045227719445","34.7920135134836","34.8650862612179","35.1271974334994","35.348954097933","35.5589328946757","35.7835953339568","36.0916646215141","36.2865811461256","36.5114563918203","36.731688588491","36.7295695893555","36.9366426112508","37.0298503832726","37.3573575744712","37.4479631386127","37.7176610529993","37.6543274322391","38.3382328555415","38.3301183535306","38.4771015877017","38.7434963043541","38.8646995615635","39.0392282368132","39.1058604122585","39.2715188739943","39.4963187254167","39.5208428681661","39.5473181969935","39.6439579671405","39.6847701359087","39.7071850078158","39.7248285941069","39.7426621251716","",
"Angola","AGO","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","36.2374428491217","36.2615063768348","36.2775487286436","36.3016122563568","36.3176546081656","36.3417181358787","36.3657816635919","36.389845191305","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.4219298949226","36.5465926044758","36.671255314029","36.7959180235823","36.9205807331355","37.0452434426887","37.1699061522419","37.2945688617951","37.4192315713484","37.5438942809016","37.6685569904548","38.1137811823213","38.5590053741879","39.0042295660544","39.4494537579209","39.8946779497874","40.339902141654","40.7851263335205","41.230350525387","41.6755747172536","42.1207989091201","42.5660239031042","43.0112488970883","43.4564738910724","43.9016988850565","44.3469238790407","44.7921552899655","45.2373706585385","45.6825940482875","45.6825940482875","45.6825940482875","",
"Albania","ALB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","44.963503649635","44.963503649635","45","44.8905109489051","45.1459854014599","45.2554744525547","45.4014598540146","45.2554744525547","45.0729927007299","44.8905109489051","43.7956204379562","42.8467153284672","41.8248175182482","40.9489051094891","39.4160583941606","39.2335766423358","40.4744525547445","40.6569343065693","40.7664233576642","40.8029197080292","40.7299270072993","40.6569343065693","40.5109489051095","40.6204379562044","40.5839416058394","40.5474452554745","40.5474452554745","40.7664233576642","40.5109489051095","40.9124087591241","41.1313868613139","41.1313868613139","41.0948905109489","41.0948905109489","41.1313868613139","41.2773722627737","41.4233576642336","41.5693430656934","41.7883211678832","41.7518248175182","41.5693430656934","41.6058394160584","40.9124087591241","40.9489051094891","39.3065693430657","40.8759124087591","40.8394160583942","43.1021897810219","43.8430656934307","43.8430656934307","43.8321167883212","43.8430656934307","43.3321167883212","42.857299270073","42.8576642335766","43.1277372262774","42.8569708029197","42.8496715328467","42.8467153284672","42.538503649635","",
"Andorra","AND","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","53.1914893617021","53.1914893617021","51.063829787234","51.063829787234","51.063829787234","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.4042553191489","48.6170212765957","48.6382978723404","48.531914893617","46.3829787234043","46.3404255319149","44.1914893617021","44.1702127659574","44.1914893617021","42.063829787234","42.063829787234","39.9148936170213","40.0212765957447","40","40.0212765957447","40.0425531914894","40.0425531914894","40.063829787234","40","39.8297872340425","",
"Arab World","ARB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","30.9811937022732","30.982442650677","31.0068338783279","31.0177805437495","31.0422452389536","31.0501797346954","31.1030029054213","31.1333450048786","31.1902088910286","31.2542725973888","31.3863672579801","31.4997276925142","31.4965876792641","31.5505864895271","31.5295012398053","31.5997364270317","31.6219971610585","31.6660778224976","31.6784938754696","31.758867614827","31.4542408571749","31.480155878035","31.5286005249566","31.9421226792726","32.4420297058108","33.0263923409557","33.5828519174096","34.1868304468949","34.6976371516517","35.1093064488318","35.1597200319644","35.3209724973076","36.0958506126211","36.7542295883511","37.3864437912516","37.9825941886639","38.4933751638604","39.1182690490074","39.6470069899337","39.6477196262465","39.6824624831878","39.7727689322306","39.9525216308185","40.0059186373968","40.1053584273775","40.1241621765897","40.1695763625174","40.1085829823821","40.1175942298056","40.1604532588895","40.1728422168316","36.4841070005407","36.5327550053093","36.5295079889959","36.5655320991643","36.6277518564327","36.6735457191427","36.6591123488897","36.5979360174808","36.6596471567718","",
"United Arab Emirates","ARE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","2.92875246409462","2.92875246409462","2.92875246409462","2.92875246409462","2.94283300478738","2.95691354548015","2.95691354548015","2.95691354548015","2.95691354548015","2.98507462686567","2.98507462686567","2.98507462686567","2.99915516755843","3.0132357082512","3.02731624894396","3.04139678963672","3.05547733032948","3.06955787102225","3.08363841171501","3.13996057448606","3.19628273725711","3.19628273725711","3.26668544072092","3.26668544072092","3.30892706279921","3.3511686848775","3.3511686848775","3.36524922557026","3.36524922557026","4.01295409743734","4.36496761475641","4.77330329484652","4.99859194593072","5.23796113770769","5.39284708532808","5.44916924809913","5.56181357364123","5.60405519571952","7.2655589974655","7.70205575894114","7.91326386933258","7.96958603210363","7.80061954379048","7.80061954379048","7.84286116586877","7.58377921712194","7.49929597296536","7.5978597578147","5.46184173472261","5.52379611377077","5.47029005913827","5.30413967896367","5.34215713883413","5.3858068149817","5.39003097718952","5.40411151788229","5.40411151788229","5.37524640946212","5.49704308645452","5.48859476203886","",
"Argentina","ARG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","50.3633951963869","49.8536553281519","49.2839890524685","48.7073800832392","48.1530608143414","47.8490439180178","47.3941147883027","47.2231052841206","46.5460099609382","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5463753658617","46.5467407707851","46.5471061757086","46.5467407707851","46.5467407707851","46.5467407707851","46.5467407707851","46.5452791510913","46.5781655942032","46.6128790619325","46.6475925296617","46.682305997391","46.7170194651203","46.7528291476199","46.7882734251961","46.8237177027723","46.8577003606547","46.8924138283839","46.9223770321081","46.9581867146078","46.9932655872605","47.031267699301","47.1749814557001","47.3186952120993","47.4737365211259","47.5533947944415","47.4910932549905","46.4235627710848","45.4302094866426","46.1389123357048","45.7919603608739","45.5813044224958","44.9219312381015","43.8533045394254","42.7846778407492","41.7160511420731","40.647424443397","39.6032286082823","39.6032286082823","39.6032286082823","",
"Armenia","ARM","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.0958904109589","41.4822620302072","42.1496311907271","43.6951176677204","45.8728486125746","46.7860906217071","46.6455918510713","46.4699683877766","46.4699683877766","46.6455918510713","48.8584474885845","50.7200561995083","52.8626624517035","56.3751317175975","61.6930101861609","61.5349490691956","61.4260625219529","61.3382507903056","60.9413417632596","59.6452406041447","59.1148577449947","59.1148577449947","59.0340709518792","58.8935721812434","58.8970846505093","58.872497365648","58.9146469968388","58.9041095890411","58.8689848963822","",
