"","iso3","continent","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"48","AUS","oceania",2010,476569,44915,10.5858,19.8169,1.04379,1.55549,2.17234,3.5e+10,0.624
"49","AUS","oceania",2006,810131,42738.5,14.5343,19.8764,9.22641,1.47523,2.72689,3.1e+10,0.683
"50","AUS","oceania",2011,788681,45389.2,10.8753,21.4451,5.76153,1.38953,2.46975,6.6e+10,0.156
"51","AUS","oceania",2004,537188,41472.5,20.7204,17.1763,2.07937,1.15935,4.20545,4.3e+10,0.698
"52","AUS","oceania",2014,416775,47232.9,13.3019,21.097,2.58313,1.49157,2.56293,6.3e+10,1.166
"53","AUS","oceania",2008,588994,44743.7,11.5442,20.1669,3.77587,2.00402,3.57701,4.5e+10,0.582
"54","AUS","oceania",2005,514763,42222.3,16.1322,18.2412,1.7044,1.31979,3.16034,-2.5e+10,1.181
"55","AUS","oceania",2013,553350,46744.6,12.4049,19.9863,0.109329,1.72115,2.60021,5.4e+10,1.459
"56","AUS","oceania",2015,475181,47569.3,16.1915,20.0693,0.647626,1.43922,2.1722,4.7e+10,1.062
"57","AUS","oceania",2009,678188,44649.2,12.9946,23.0281,3.73126,2.06105,1.86683,2.9e+10,0.986
"58","AUS","oceania",2017,526369,48398.6,13.6692,21.2253,0.308343,1.68452,2.29593,4.8e+10,1.122
"59","AUS","oceania",2016,887850,48116,14.6721,19.2699,0.161523,1.56194,2.74164,4.3e+10,1.145
"60","AUS","oceania",2018,565913,49029.1,11.8402,21.8697,0.394545,1.53611,2.87097,6.1e+10,1.112
"61","BDI","africa",2004,400,817.461,44.0616,6.95275,10.8647,3.16997,4.83366,44690.7,1.279
"62","BDI","africa",2005,137.5,798.705,45.1207,6.2,18.4493,3.21717,0.9,584702,0.746228192467604
"63","BDI","africa",2006,362.5,815.054,31.1809,7.3,0.781366,3.2461,5.41381,31593.8,1.00949473295957
"64","BDI","africa",2007,225,815.908,35.0457,6.8,8.99157,3.28892,3.45195,500245,1.388
"65","BDI","africa",2008,550,827.792,36.9371,10.5,34.1017,3.30118,4.86171,3800000,0.615921813418829
"66","BDI","africa",2009,1143.75,831.565,50.1778,6.6,12.1401,3.28716,3.81275,348405,0.920670397832347
"67","BDI","africa",2010,3081.25,846.169,72.4468,9.7,6.23488,3.2562,5.12416,780582,0.904176566840832
"68","BDI","africa",2011,68.75,852.503,50.1648,8.8,9.15349,3.20771,4.0326,3400000,0.844222878404892
"69","BDI","africa",2012,12.5,862.716,37.4885,9.7,13.8806,3.15979,4.44671,604920,0.899647877762374
"70","BDI","africa",2013,450,877.273,26.5982,9.1,9.54607,3.1335,4.9242,1.2e+08,0.874063942017349
"71","BDI","africa",2014,862.5,886.235,59.1465,7.60342,2.3538,3.13676,4.24065,8.2e+07,1.21917496459863
"72","BDI","africa",2015,893.75,825.206,63.554,5.73297,5.78109,3.15691,-3.9,5e+07,0.872396414044914
"73","BDI","africa",2016,100,794.604,66.2356,6.65259,7.22895,3.17701,-0.60002,55420.4,0.923834892980364
"74","BDI","africa",2017,6.25,773.573,59.998,7.4447,24.1989,3.1812,0.50001,316473,1.03184865474774
"75","BDI","africa",2018,56.25,761.524,55.0003,9.40104,-10.8813,3.16691,1.60993,983747,0.785757609234543
"76","BEN","africa",2013,7431.25,2876.9,36.9455,27.5706,2.66219,2.79072,7.19143,3.6e+08,0.989
"77","BEN","africa",2011,54925,2707.87,38.0634,20.8497,5.84181,2.80376,2.96375,1.6e+08,1.074
"78","BEN","africa",2012,6750,2759.85,40.3416,23.8967,4.70908,2.79772,4.81122,2.8e+08,0.719
"79","BEN","africa",2014,3056.25,2975.85,29.8589,31.4308,-0.796432,2.78209,6.35768,4.1e+08,1.087
"80","BEN","africa",2010,2875,2704.71,67.599,23.072,4.0893,2.80598,2.11406,5.4e+07,1.349
"81","BEN","africa",2008,5018.75,2738.19,30.1095,22.1407,18.1916,2.82352,4.89658,4.8e+07,0.731
"82","BEN","africa",2009,2075,2724.08,49.297,19.928,2.69302,2.80943,2.31929,-1.9e+07,1.066
"83","BEN","africa",2016,543.75,2961.44,33.4302,27.6068,-0.445703,2.76136,3.33967,1.3e+08,1.248
"84","BEN","africa",2005,12312.5,2581.64,25.8985,18.4836,9.44667,2.95237,1.71316,-8800000,1.201
"85","BEN","africa",2007,83118.8,2685.13,38.0416,22.0429,-0.643239,2.8541,5.98635,1.4e+08,0.927
"86","BEN","africa",2018,12.5,3160.78,37.0948,27.2742,1.57308,2.73486,6.69726,1.9e+08,1.233
"87","BEN","africa",2015,518.75,2945.97,22.6842,24.7205,0.499391,2.77184,1.77815,1.5e+08,1.317
"88","BEN","africa",2006,1750,2606.82,39.3161,18.0579,-0.477085,2.89752,3.94374,-1.2e+07,1.136
"89","BEN","africa",2004,2625,2614.21,18.3329,18.5135,-0.716519,3.00532,4.42968,-4.1e+07,0.828
